7.185099999999999820e-02,-4.508619999999999850e-01,9.660311999999999344e+00,-2.660000000000000146e-04,-2.396999999999999825e-03,-3.995000000000000287e-03
7.005400000000000515e-02,-4.742140000000000244e-01,9.653126999999999569e+00,2.660000000000000146e-04,1.598000000000000028e-03,-2.660000000000000146e-04
7.005400000000000515e-02,-4.724180000000000046e-01,9.662107999999999919e+00,1.332000000000000068e-03,1.332000000000000068e-03,-2.663000000000000003e-03
7.005400000000000515e-02,-4.580480000000000107e-01,9.671089000000000269e+00,-2.660000000000000146e-04,-7.990000000000000140e-04,-7.990000000000000140e-04
8.442399999999999904e-02,-4.688249999999999917e-01,9.649533999999999168e+00,1.064999999999999974e-03,0.000000000000000000e+00,-1.598000000000000028e-03
6.646199999999999330e-02,-4.634360000000000146e-01,9.656719000000000719e+00,7.990000000000000140e-04,-1.064999999999999974e-03,0.000000000000000000e+00
7.005400000000000515e-02,-4.742140000000000244e-01,9.642348999999999393e+00,-2.660000000000000146e-04,-1.863999999999999988e-03,-3.461999999999999800e-03
7.005400000000000515e-02,-4.526589999999999780e-01,9.681867000000000445e+00,1.332000000000000068e-03,1.863999999999999988e-03,-5.330000000000000536e-04
7.544299999999999617e-02,-4.526589999999999780e-01,9.658514999999999517e+00,5.330000000000000536e-04,0.000000000000000000e+00,-1.332000000000000068e-03
7.005400000000000515e-02,-4.724180000000000046e-01,9.662107999999999919e+00,0.000000000000000000e+00,2.396999999999999825e-03,-2.660000000000000146e-04
5.029499999999999943e-02,-4.598439999999999750e-01,9.687255999999999645e+00,7.990000000000000140e-04,-1.064999999999999974e-03,-5.330000000000000536e-04
9.699800000000000089e-02,-4.652330000000000076e-01,9.669292999999999694e+00,-2.660000000000000146e-04,-1.863999999999999988e-03,-1.064999999999999974e-03
8.083200000000000107e-02,-4.598439999999999750e-01,9.610015999999999892e+00,-2.660000000000000146e-04,1.332000000000000068e-03,-2.131000000000000082e-03
8.801699999999999802e-02,-4.562510000000000177e-01,9.642348999999999393e+00,2.660000000000000146e-04,7.990000000000000140e-04,0.000000000000000000e+00
7.185099999999999820e-02,-4.670290000000000274e-01,9.622590000000000643e+00,2.660000000000000146e-04,2.131000000000000082e-03,-1.332000000000000068e-03
9.340600000000000291e-02,-4.598439999999999750e-01,9.692643999999999593e+00,1.598000000000000028e-03,-1.598000000000000028e-03,-4.526999999999999774e-03
7.723900000000000210e-02,-4.670290000000000274e-01,9.681867000000000445e+00,7.990000000000000140e-04,1.064999999999999974e-03,-2.396999999999999825e-03
6.646199999999999330e-02,-4.778060000000000085e-01,9.615405000000000868e+00,-5.330000000000000536e-04,7.990000000000000140e-04,-2.663000000000000003e-03
7.185099999999999820e-02,-4.867879999999999985e-01,9.672886000000000095e+00,2.660000000000000146e-04,2.396999999999999825e-03,-1.863999999999999988e-03
7.364700000000000413e-02,-4.813990000000000213e-01,9.699828999999999368e+00,5.330000000000000536e-04,2.660000000000000146e-04,-5.330000000000000536e-04
7.723900000000000210e-02,-4.903799999999999826e-01,9.636960000000000193e+00,1.863999999999999988e-03,2.660000000000000146e-04,-7.990000000000000140e-04
8.442399999999999904e-02,-4.580480000000000107e-01,9.649533999999999168e+00,0.000000000000000000e+00,1.332000000000000068e-03,-2.131000000000000082e-03
7.185099999999999820e-02,-4.598439999999999750e-01,9.680070999999999870e+00,-5.330000000000000536e-04,0.000000000000000000e+00,-1.064999999999999974e-03
6.466600000000000126e-02,-4.670290000000000274e-01,9.656719000000000719e+00,5.330000000000000536e-04,1.064999999999999974e-03,-2.396999999999999825e-03
