ax,ay,az,gx,gy,gz
5.819900000000000073e-01,-8.262819999999999609e-01,9.590258000000000393e+00,1.863999999999999988e-03,-5.330000000000000536e-04,-1.332000000000000068e-03
5.963600000000000012e-01,-8.226890000000000036e-01,9.574090999999999241e+00,2.131000000000000082e-03,-1.332000000000000068e-03,-3.196000000000000056e-03
5.927670000000000439e-01,-8.406519999999999548e-01,9.593849999999999767e+00,1.863999999999999988e-03,-3.727999999999999977e-03,-3.995000000000000287e-03
5.801939999999999875e-01,-8.244850000000000234e-01,9.629775000000000418e+00,2.663000000000000003e-03,-4.261000000000000031e-03,-2.929000000000000180e-03
5.927670000000000439e-01,-8.173000000000000265e-01,9.579480000000000217e+00,2.131000000000000082e-03,-3.461999999999999800e-03,-3.196000000000000056e-03
5.891750000000000043e-01,-8.155040000000000067e-01,9.556129000000000318e+00,7.990000000000000140e-04,-5.330000000000000536e-04,-1.598000000000000028e-03
5.927670000000000439e-01,-8.101150000000000295e-01,9.615405000000000868e+00,-2.660000000000000146e-04,2.660000000000000146e-04,-1.863999999999999988e-03
6.035449999999999982e-01,-8.137079999999999869e-01,9.611812999999999718e+00,-5.330000000000000536e-04,1.332000000000000068e-03,-2.131000000000000082e-03
6.035449999999999982e-01,-8.316710000000000491e-01,9.611812999999999718e+00,-5.330000000000000536e-04,3.196000000000000056e-03,0.000000000000000000e+00
6.035449999999999982e-01,-8.298740000000000006e-01,9.586664999999999992e+00,-5.330000000000000536e-04,7.990000000000000140e-04,-7.990000000000000140e-04
5.981560000000000210e-01,-8.173000000000000265e-01,9.565108999999999639e+00,-1.064999999999999974e-03,5.330000000000000536e-04,-1.064999999999999974e-03
5.783970000000000500e-01,-8.388560000000000461e-01,9.570498000000000616e+00,1.064999999999999974e-03,1.863999999999999988e-03,0.000000000000000000e+00
5.783970000000000500e-01,-8.047269999999999701e-01,9.602831000000000117e+00,2.660000000000000146e-04,3.995000000000000287e-03,-1.064999999999999974e-03
5.748050000000000104e-01,-8.262819999999999609e-01,9.599237999999999715e+00,2.396999999999999825e-03,5.858999999999999625e-03,-2.396999999999999825e-03
5.909710000000000241e-01,-8.119119999999999671e-01,9.592052999999999940e+00,1.064999999999999974e-03,1.064999999999999974e-03,-1.598000000000000028e-03
5.909710000000000241e-01,-8.280779999999999808e-01,9.592052999999999940e+00,2.131000000000000082e-03,2.663000000000000003e-03,-5.330000000000000536e-04
5.766010000000000302e-01,-8.137079999999999869e-01,9.583073000000000619e+00,1.064999999999999974e-03,0.000000000000000000e+00,-2.131000000000000082e-03
5.783970000000000500e-01,-8.226890000000000036e-01,9.602831000000000117e+00,1.064999999999999974e-03,7.990000000000000140e-04,-5.330000000000000536e-04
5.837860000000000271e-01,-8.514289999999999914e-01,9.563313000000000841e+00,1.598000000000000028e-03,4.526999999999999774e-03,-5.326000000000000005e-03
5.837860000000000271e-01,-8.262819999999999609e-01,9.561517000000000266e+00,1.064999999999999974e-03,4.261000000000000031e-03,1.064999999999999974e-03
6.071379999999999555e-01,-8.208929999999999838e-01,9.613607999999999265e+00,7.990000000000000140e-04,4.526999999999999774e-03,-2.660000000000000146e-04
5.909710000000000241e-01,-8.155040000000000067e-01,9.610015999999999892e+00,1.863999999999999988e-03,5.858999999999999625e-03,5.330000000000000536e-04
5.927670000000000439e-01,-8.029300000000000326e-01,9.593849999999999767e+00,-1.863999999999999988e-03,4.526999999999999774e-03,-5.330000000000000536e-04
5.819900000000000073e-01,-8.190969999999999640e-01,9.583073000000000619e+00,1.064999999999999974e-03,5.326000000000000005e-03,2.660000000000000146e-04
5.909710000000000241e-01,-8.173000000000000265e-01,9.593849999999999767e+00,7.990000000000000140e-04,2.660000000000000146e-04,-2.929000000000000180e-03
5.909710000000000241e-01,-8.083190000000000097e-01,9.615405000000000868e+00,1.863999999999999988e-03,2.660000000000000146e-04,-1.332000000000000068e-03
5.766010000000000302e-01,-8.406519999999999548e-01,9.590258000000000393e+00,-2.660000000000000146e-04,7.990000000000000140e-04,-2.663000000000000003e-03
5.801939999999999875e-01,-8.298740000000000006e-01,9.601034999999999542e+00,2.660000000000000146e-04,1.598000000000000028e-03,-1.598000000000000028e-03
